"Tipo de Propriedade","Contagem","Quantidade de Reviews em Média"
"Barn",1,19
"Resort",11,9
"Nature lodge",2,24
"Serviced apartment",185,13
"Other",18,16
"Cottage",20,48
"Casa particular (Cuba)",9,1
"Boutique hotel",53,18
"Campsite",1,47
"Hostel",34,15
"Boat",2,12
"Aparthotel",23,14
"Guesthouse",50,59
"Condominium",399,28
"Bed and breakfast",69,15
"Camper/RV",2,0
"Guest suite",81,51
"Train",1,89
"House",606,29
"Pension (South Korea)",1,32
"Townhouse",108,40
"Hotel",26,13
"Cabin",15,82
"Bungalow",14,37
"Loft",142,40
"Hut",1,4
"Chalet",2,16
"Houseboat",1,2
"Heritage hotel (India)",1,0
"Castle",1,0
"Villa",32,13
"Tiny house",7,18
"Apartment",3626,27
"Farm stay",9,35
"Earth house",1,1
"Treehouse",1,103
